question_text,question_type,answer_type,starter,created_at,updated_at,question_id,is_deleted,question_text_ja,question_text_ko,question_text_zh_hans,question_text_zh_hant,question_text_es,question_text_fr,question_text_pt,question_text_ar,question_text_hi,question_text_de,question_text_it,question_text_id
I am calm and relaxed most of the time,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,45,0,私はたいてい落ち着いてリラックスしている,나는 대부분 차분하고 편안하다,我大多数时候都很冷静放松,我大多數時候都很冷靜放鬆,La mayor parte del tiempo estoy tranquilo y relajado,"La plupart du temps, je suis calme et détendu","Na maior parte do tempo, estou calmo e relaxado",أنا هادئ ومسترخٍ في معظم الأوقات,मैं अधिकांश समय शांत और सहज रहता हूँ,Ich bin meistens ruhig und entspannt,Sono calmo e rilassato la maggior parte del tempo,Saya tenang dan santai sebagian besar waktu
I handle emotional stress well,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,46,0,私は感情的なストレスをうまく対処できる,나는 감정적인 스트레스를 잘 다룬다,我能很好地应对情绪压力,我能很好地應對情緒壓力,Manejo bien el estrés emocional,Je gère bien le stress émotionnel,Lido bem com o estresse emocional,أتعامل جيدًا مع الضغط العاطفي,मैं भावनात्मक तनाव को अच्छी तरह से संभालता हूँ,Ich gehe gut mit emotionalem Stress um,Gestisco bene lo stress emotivo,Saya dapat menangani stres emosional dengan baik
I find it difficult to relax after a busy day,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,47,0,忙しい一日の後にリラックスするのが難しい,바쁜 하루를 보낸 후에는 휴식이 어렵다,忙碌一天后我很难放松,忙碌一天後我很難放鬆,Me cuesta relajarme después de un día ocupado,J’ai du mal à me détendre après une journée chargée,Acho difícil relaxar após um dia agitado,أجد صعوبة في الاسترخاء بعد يوم حافل,व्यस्त दिन के बाद मुझे आराम करना कठिन लगता है,"Ich finde es schwer, mich nach einem vollen Tag zu entspannen",Trovo difficile rilassarmi dopo una giornata intensa,Saya merasa sulit untuk rileks setelah hari yang sibuk
I feel comfortable showing enthusiasm in public,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,48,0,私は公の場で熱意を見せることに抵抗がない,나는 사람들 앞에서 열정을 드러내는 것이 편하다,我在公众面前表现出热情时很自在,我在公眾面前表現出熱情時很自在,Me siento cómodo mostrando entusiasmo en público,Je suis à l’aise pour montrer mon enthousiasme en public,Sinto-me à vontade ao demonstrar entusiasmo em público,أشعر بالراحة عند إظهار الحماس علنًا,मैं सार्वजनिक रूप से उत्साह दिखाने में सहज महसूस करता हूँ,Ich zeige gerne Begeisterung in der Öffentlichkeit,Mi sento a mio agio nel mostrare entusiasmo in pubblico,Saya merasa nyaman menunjukkan antusiasme di depan umum
I often worry about making mistakes,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,49,0,私はよく間違いをすることを心配する,나는 실수하는 것에 대해 자주 걱정한다,我经常担心犯错误,我經常擔心犯錯誤,A menudo me preocupa cometer errores,Je m’inquiète souvent de faire des erreurs,Frequentemente me preocupo em cometer erros,غالبًا ما أقلق بشأن ارتكاب الأخطاء,मैं अक्सर गलतियाँ करने को लेकर चिंतित रहता हूँ,"Ich mache mir oft Sorgen, Fehler zu machen",Mi preoccupo spesso di commettere errori,Saya sering khawatir membuat kesalahan
I enjoy learning about new and different ideas,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,50,0,私は新しくて多様な考えを学ぶのが好きだ,나는 새롭고 다양한 아이디어를 배우는 것을 즐긴다,我喜欢学习新颖多样的想法,我喜歡學習新穎多樣的想法,Disfruto aprender sobre ideas nuevas y diferentes,J’aime apprendre de nouvelles idées variées,Gosto de aprender sobre ideias novas e diferentes,أستمتع بتعلم أفكار جديدة ومختلفة,मुझे नए और विविध विचारों के बारे में सीखना पसंद है,Ich lerne gerne neue und unterschiedliche Ideen kennen,Mi piace apprendere idee nuove e diverse,Saya senang mempelajari ide-ide baru dan berbeda
I am comfortable with “good enough” rather than perfect,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,51,0,完璧よりも「十分良い」に満足できる,나는 완벽보다는 '충분히 괜찮은' 상태에 만족한다,我对“够好”而不是完美感到满意,我對「夠好」而不是完美感到滿意,Estoy conforme con “suficientemente bueno” en lugar de perfecto,Je suis à l’aise avec “suffisamment bien” plutôt que parfait,Estou confortável com “bom o suficiente” em vez de perfeito,"أنا مرتاح بـ""جيد بما فيه الكفاية"" بدلاً من المثالي","मैं पूर्णता की बजाय ""पर्याप्त अच्छा"" से संतुष्ट हूँ",Ich bin mit „gut genug“ statt perfekt zufrieden,Mi accontento di un risultato “abbastanza buono” piuttosto che perfetto,Saya merasa nyaman dengan cukup baik daripada sempurna
I prefer thinking about possibilities over facts,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,52,0,私は事実よりも可能性を考えることを好む,나는 사실보다 가능성을 생각하는 것을 선호한다,我更喜欢思考可能性而非事实,我更喜歡思考可能性而非事實,Prefiero pensar en posibilidades más que en hechos,Je préfère réfléchir aux possibilités plutôt qu’aux faits,Prefiro pensar em possibilidades em vez de fatos,أفضل التفكير في الاحتمالات أكثر من الحقائق,मैं तथ्यों की बजाय संभावनाओं पर विचार करना पसंद करता हूँ,Ich denke lieber über Möglichkeiten als über Fakten nach,Preferisco pensare alle possibilità piuttosto che ai fatti,Saya lebih suka memikirkan kemungkinan daripada fakta
I am not easily affected by others' emotions,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,53,0,私は他人の感情にあまり左右されない,나는 다른 사람의 감정에 쉽게 영향을 받지 않는다,我不会轻易受他人情绪影响,我不會輕易受他人情緒影響,No me afectan fácilmente las emociones de los demás,Je ne suis pas facilement affecté par les émotions des autres,Não sou facilmente afetado pelas emoções dos outros,لا أتأثر بسهولة بمشاعر الآخرين,मैं दूसरों की भावनाओं से आसानी से प्रभावित नहीं होता हूँ,Ich werde nicht leicht von den Gefühlen anderer beeinflusst,Non sono facilmente influenzato dalle emozioni altrui,Saya tidak mudah terpengaruh oleh emosi orang lain
I prefer to rely on myself for support,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,54,0,私はサポートを自分に求めることを好む,나는 스스로에게 의지하는 것을 선호한다,我更喜欢依靠自己获得支持,我更喜歡依靠自己獲得支持,Prefiero depender de mí mismo para el apoyo,Je préfère compter sur moi-même pour le soutien,Prefiro contar comigo mesmo para apoio,أفضل الاعتماد على نفسي للحصول على الدعم,मैं समर्थन के लिए खुद पर निर्भर रहना पसंद करता हूँ,Ich verlasse mich lieber auf mich selbst,Preferisco fare affidamento su me stesso per ricevere supporto,Saya lebih suka bergantung pada diri sendiri untuk mendapatkan dukungan
I am usually trusting of others,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,55,0,私は通常、他人を信頼する傾向がある,나는 보통 다른 사람을 신뢰하는 편이다,我通常倾向于信任他人,我通常傾向於信任他人,Generalmente confío en los demás,"En général, j’ai tendance à faire confiance aux autres",Costumo confiar nos outros,عادةً ما أكون واثقًا من الآخرين,मैं आम तौर पर दूसरों पर भरोसा करता हूँ,Ich vertraue anderen in der Regel,Di solito ho fiducia negli altri,Saya biasanya mempercayai orang lain
I am rarely worried about what others think,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,56,0,私は他人の目をあまり気にしない,나는 다른 사람의 시선을 좀처럼 걱정하지 않는다,我很少担心他人怎么想,我很少擔心他人怎麼想,Rara vez me preocupa lo que piensen los demás,Je m’inquiète rarement de ce que pensent les autres,Raramente me preocupo com o que os outros pensam,نادراً ما أقلق بشأن ما يظنه الآخرون,मैं शायद ही कभी दूसरों की राय की चिंता करता हूँ,"Ich mache mir selten Sorgen darüber, was andere denken",Raramente mi preoccupo di ciò che gli altri pensano,Saya jarang khawatir tentang pendapat orang lain
I tend to be shy in unfamiliar settings,,scale,true,2024-10-28 08:37:48.888972,2024-10-28 08:37:48.888972,57,0,私は慣れない場面では恥ずかしがり屋な傾向がある,나는 익숙하지 않은 상황에서 수줍음을 타는 편이다,在陌生的环境中我往往比较害羞,在陌生的環境中我往往比較害羞,Tiendo a ser tímido en situaciones desconocidas,J’ai tendance à être timide dans des contextes inconnus,Tendo a ser tímido em situações desconhecidas,أميل إلى أن أكون خجولًا في الأماكن غير المألوفة,मैं अपरिचित स्थितियों में शर्मीला हो जाता हूँ,Ich bin in ungewohnten Situationen eher schüchtern,Tendo a essere timido in ambienti sconosciuti,Saya cenderung pemalu dalam lingkungan yang tidak dikenal
